zero_index,t_value,rank,prime_p,prime_q,impact_score,phase_cos,pair_str
63,169.09451541556882,1,2,5,-0.10777466663451585,-0.5388733331725792,"(2, 5)"
63,169.09451541556882,2,2,13,-0.054176036197242275,-0.7042884705641496,"(2, 13)"
63,169.09451541556882,3,3,13,-0.049857402887131815,-0.9722193562990704,"(3, 13)"
63,169.09451541556882,4,2,17,-0.048869183575958944,-0.830776120791302,"(2, 17)"
63,169.09451541556882,5,2,19,-0.04491409089482056,-0.8533677270015907,"(2, 19)"
64,169.9119764794117,1,2,13,-0.05676638545152629,-0.7379630108698417,"(2, 13)"
64,169.9119764794117,2,3,13,-0.029309956129396596,-0.5715441445232337,"(3, 13)"
64,169.9119764794117,3,2,59,-0.016790380696036784,-0.9906324610661702,"(2, 59)"
64,169.9119764794117,4,5,11,-0.01583855843747651,-0.435560357030604,"(5, 11)"
64,169.9119764794117,5,2,47,-0.014821067203234574,-0.696590158552025,"(2, 47)"
65,173.41153651959155,1,2,7,-0.1271293705809962,-0.8899055940669733,"(2, 7)"
65,173.41153651959155,2,3,7,-0.07137206151581302,-0.7494066459160368,"(3, 7)"
65,173.41153651959155,3,3,13,-0.05036653007517745,-0.9821473364659603,"(3, 13)"
65,173.41153651959155,4,2,5,-0.04850247675868347,-0.24251238379341736,"(2, 5)"
65,173.41153651959155,5,2,13,-0.04103942476597412,-0.5335125219576635,"(2, 13)"
66,174.75419152336573,1,2,5,-0.1990871552968515,-0.9954357764842574,"(2, 5)"
66,174.75419152336573,2,3,7,-0.08719237300881597,-0.9155199165925677,"(3, 7)"
66,174.75419152336573,3,2,11,-0.07800026304106547,-0.8580028934517201,"(2, 11)"
66,174.75419152336573,4,2,17,-0.058280316088631164,-0.9907653735067298,"(2, 17)"
66,174.75419152336573,5,2,3,-0.05668728975647983,-0.1700618692694395,"(2, 3)"
67,176.44143429771043,1,2,3,-0.2515259412612516,-0.7545778237837548,"(2, 3)"
67,176.44143429771043,2,3,5,-0.07478033007942016,-0.5608524755956512,"(3, 5)"
67,176.44143429771043,3,2,13,-0.0709632083142969,-0.9225217080858595,"(2, 13)"
67,176.44143429771043,4,3,11,-0.060366670937789794,-0.9960500704735316,"(3, 11)"
67,176.44143429771043,5,5,7,-0.05419480811714063,-0.9484091420499611,"(5, 7)"
68,178.37740777609997,1,2,3,-0.33253591624228507,-0.9976077487268553,"(2, 3)"
68,178.37740777609997,2,3,5,-0.13332106870138166,-0.9999080152603625,"(3, 5)"
68,178.37740777609997,3,2,7,-0.1309298411454399,-0.9165088880180794,"(2, 7)"
68,178.37740777609997,4,2,11,-0.07259392798851493,-0.7985332078736641,"(2, 11)"
68,178.37740777609997,5,5,7,-0.05408202155143979,-0.9464353771501963,"(5, 7)"
69,179.916484020257,1,2,3,-0.2563962616295819,-0.7691887848887458,"(2, 3)"
69,179.916484020257,2,3,5,-0.09291687259176414,-0.696876544438231,"(3, 5)"
69,179.916484020257,3,2,13,-0.06271078337976266,-0.8152401839369146,"(2, 13)"
69,179.916484020257,4,2,19,-0.05135211893357633,-0.9756902597379503,"(2, 19)"
69,179.916484020257,5,5,7,-0.03785729687290046,-0.662502695275758,"(5, 7)"
70,182.20707848436646,1,2,5,-0.18006795754827265,-0.9003397877413633,"(2, 5)"
70,182.20707848436646,2,3,7,-0.08593716952389835,-0.9023402800009327,"(3, 7)"
70,182.20707848436646,3,2,11,-0.08371499054863236,-0.9208648960349559,"(2, 11)"
70,182.20707848436646,4,2,7,-0.06808948199989495,-0.4766263739992647,"(2, 7)"
70,182.20707848436646,5,3,13,-0.05076866381399005,-0.9899889443728059,"(3, 13)"
